id concurrent_type
120164 MEASUREMENT_EVENT
119146 MEASUREMENT_EVENT
119357 MEASUREMENT_EVENT
119359 MEASUREMENT_EVENT
119363 MEASUREMENT_EVENT
119514 MEASUREMENT_EVENT
119147 MEASUREMENT_EVENT
119163 MEASUREMENT_EVENT
119353 MEASUREMENT_EVENT
119516 MEASUREMENT_EVENT
119149 MEASUREMENT_EVENT
119600 MEASUREMENT_EVENT
119151 MEASUREMENT_EVENT
119348 MEASUREMENT_EVENT
119162 MEASUREMENT_EVENT
119596 MEASUREMENT_EVENT
119503 MEASUREMENT_EVENT
120183 MEASUREMENT_EVENT
119345 MEASUREMENT_EVENT
119160 MEASUREMENT_EVENT
119155 MEASUREMENT_EVENT
120184 MEASUREMENT_EVENT
119369 MEASUREMENT_EVENT
119343 MEASUREMENT_EVENT
119354 MEASUREMENT_EVENT
119355 MEASUREMENT_EVENT
119342 MEASUREMENT_EVENT
120181 MEASUREMENT_EVENT
119041 MEASUREMENT_EVENT
119035 MEASUREMENT_EVENT
119595 MEASUREMENT_EVENT
119165 Event
119339 MEASUREMENT_EVENT
119143 MEASUREMENT_EVENT
119334 MEASUREMENT_EVENT
119038 MEASUREMENT_EVENT
119347 MEASUREMENT_EVENT
119341 MEASUREMENT_EVENT
120180 MEASUREMENT_EVENT
119352 MEASUREMENT_EVENT
119368 MEASUREMENT_EVENT
119335 MEASUREMENT_EVENT
119358 MEASUREMENT_EVENT
119365 MEASUREMENT_EVENT
119515 MEASUREMENT_EVENT
119597 MEASUREMENT_EVENT
119370 MEASUREMENT_EVENT
119144 MEASUREMENT_EVENT
119032 Event
119517 MEASUREMENT_EVENT
119154 MEASUREMENT_EVENT
119333 MEASUREMENT_EVENT
119039 MEASUREMENT_EVENT
119157 MEASUREMENT_EVENT
119361 MEASUREMENT_EVENT
119340 MEASUREMENT_EVENT
119346 MEASUREMENT_EVENT
119329 MEASUREMENT_EVENT
119364 MEASUREMENT_EVENT
119360 MEASUREMENT_EVENT
119037 MEASUREMENT_EVENT
119362 MEASUREMENT_EVENT
120179 MEASUREMENT_EVENT
119148 MEASUREMENT_EVENT
119045 MEASUREMENT_EVENT
120182 MEASUREMENT_EVENT
119094 Event
119350 MEASUREMENT_EVENT
119366 MEASUREMENT_EVENT
119040 MEASUREMENT_EVENT
119031 MEASUREMENT_EVENT
119159 MEASUREMENT_EVENT
119356 MEASUREMENT_EVENT
119150 MEASUREMENT_EVENT
119092 MEASUREMENT_EVENT
119036 MEASUREMENT_EVENT
120185 Event
119599 MEASUREMENT_EVENT
119337 MEASUREMENT_EVENT
119367 MEASUREMENT_EVENT
120163 MEASUREMENT_EVENT
119349 MEASUREMENT_EVENT
119344 MEASUREMENT_EVENT
119598 MEASUREMENT_EVENT
119351 MEASUREMENT_EVENT
119330 Event
120177 MEASUREMENT_EVENT
119336 MEASUREMENT_EVENT
119338 MEASUREMENT_EVENT
119034 MEASUREMENT_EVENT
119158 MEASUREMENT_EVENT
119152 MEASUREMENT_EVENT
120178 MEASUREMENT_EVENT
94664 MEASUREMENT_EVENT
94661 MEASUREMENT_EVENT
96103 MEASUREMENT_EVENT
94658 MEASUREMENT_EVENT
94659 MEASUREMENT_EVENT
96096 MEASUREMENT_EVENT
96105 MEASUREMENT_EVENT
96101 MEASUREMENT_EVENT
96085 MEASUREMENT_EVENT
96090 MEASUREMENT_EVENT
94668 MEASUREMENT_EVENT
96087 MEASUREMENT_EVENT
94670 MEASUREMENT_EVENT
94679 MEASUREMENT_EVENT
94671 MEASUREMENT_EVENT
94676 MEASUREMENT_EVENT
96091 MEASUREMENT_EVENT
94666 MEASUREMENT_EVENT
94663 MEASUREMENT_EVENT
94678 MEASUREMENT_EVENT
96094 MEASUREMENT_EVENT
94677 MEASUREMENT_EVENT
94675 MEASUREMENT_EVENT
94665 MEASUREMENT_EVENT
96099 MEASUREMENT_EVENT
96102 MEASUREMENT_EVENT
96092 MEASUREMENT_EVENT
94662 MEASUREMENT_EVENT
96098 MEASUREMENT_EVENT
94672 MEASUREMENT_EVENT
96088 MEASUREMENT_EVENT
96095 MEASUREMENT_EVENT
96084 MEASUREMENT_EVENT
94660 MEASUREMENT_EVENT
94669 MEASUREMENT_EVENT
96100 MEASUREMENT_EVENT
96104 MEASUREMENT_EVENT
94673 MEASUREMENT_EVENT
94667 MEASUREMENT_EVENT
96089 MEASUREMENT_EVENT
94674 MEASUREMENT_EVENT
96097 MEASUREMENT_EVENT
96086 MEASUREMENT_EVENT
96093 MEASUREMENT_EVENT
93843 MEASUREMENT_EVENT
93792 MEASUREMENT_EVENT
93834 MEASUREMENT_EVENT
93738 MEASUREMENT_EVENT
93789 MEASUREMENT_EVENT
